temperatura;pressao;altitude;umidade;co2;tempo_registro;regiao;;
31,62;92490,8;817,94;45;0;05/12/2024 14:57;Centro;;
31,62;92491,13;817,91;45;0;05/12/2024 14:57;Centro;;
31,62;92491,53;817,87;46;0,02;05/12/2024 14:56;Centro;;
31,62;92490,43;817,97;46;1,2;05/12/2024 14:56;Centro;;
31,62;92491,36;817,89;46;0,17;05/12/2024 14:56;Centro;;
31,62;92489,94;818,01;46;NULL;05/12/2024 14:56;Centro;;
31,61;92492,57;817,78;46;0;05/12/2024 14:56;Centro;;
31,61;92491,14;817,91;46;0;05/12/2024 14:56;Centro;;
31,61;92490,85;817,93;46;0,17;05/12/2024 14:56;Centro;;
31,61;92493,5;817,7;46;0,71;05/12/2024 14:56;Centro;;
31,6;92491,57;817,87;46;0;05/12/2024 14:56;Centro;;
31,61;92494,62;817,6;46;0;05/12/2024 14:56;Centro;;
31,61;92492,63;817,77;46;0;05/12/2024 14:56;Centro;;
31,6;92490,25;817,99;46;0;05/12/2024 14:56;Centro;;
31,6;92490,58;817,96;46;0,07;05/12/2024 14:55;Centro;;
31,6;92490,58;817,96;46;1,22;05/12/2024 14:55;Centro;;
31,6;92490,73;817,94;46;0;05/12/2024 14:55;Centro;;
31,59;92490,83;817,94;46;0;05/12/2024 14:55;Centro;;
31,59;92493,31;817,71;46;0;05/12/2024 14:55;Centro;;
31,59;92494,03;817,65;46;0,26;05/12/2024 14:55;Centro;;
31,6;92494,28;817,63;46;0;05/12/2024 14:55;Centro;;
31,59;92491,78;817,85;46;NULL;05/12/2024 14:55;Centro;;
31,58;92492,44;817,79;46;0;05/12/2024 14:55;Centro;;
31,59;92491,55;817,87;46;1,22;05/12/2024 14:55;Centro;;
31,58;92494,81;817,8;46;0;05/12/2024 14:55;Centro;;
31,58;92493,82;817,67;46;0;05/12/2024 14:55;Centro;;
31,58;92492,5;817,79;46;0;05/12/2024 14:54;Centro;;
31,59;92493,83;817,67;46;4,15;05/12/2024 14:54;Centro;;
31,59;92494,53;817,6;46;0,01;05/12/2024 14:54;Centro;;
31,59;92489,56;818,05;46;0;05/12/2024 14:54;Centro;;
31,59;92494,86;817,57;46;1,34;05/12/2024 14:54;Centro;;
31,59;92493,87;817,66;46;0;05/12/2024 14:54;Centro;;
31,58;92491,05;817,92;46;0;05/12/2024 14:54;Centro;;
31,58;92493,77;817,67;46;0,5;05/12/2024 14:54;Centro;;
31,58;92494,26;817,63;46;0;05/12/2024 14:54;Centro;;
31,58;92496,57;817,42;46;0;05/12/2024 14:54;Centro;;
31,59;92494;817,65;46;1,16;05/12/2024 14:54;Centro;;
31,58;92496,24;817,45;46;0;05/12/2024 14:54;Centro;;
31,58;92493,2;817,72;46;0,06;05/12/2024 14:53;Centro;;
31,58;92495,91;817,48;46;0,21;05/12/2024 14:53;Centro;;
31,59;92494,33;817,62;46;0;05/12/2024 14:53;Centro;;
31,58;92496,24;817,45;46;0;05/12/2024 14:53;Centro;;
31,58;92497,89;817,3;46;0;05/12/2024 14:53;Centro;;
31,58;92495,08;817,38;46;0;05/12/2024 14:53;Centro;;
31,58;92496,83;817,4;46;0;05/12/2024 14:53;Centro;;
31,59;92497,14;817,37;46;1,32;05/12/2024 14:53;Centro;;
31,59;92497,12;817,37;46;0;05/12/2024 14:53;Centro;;
31,59;92497,02;817,38;46;0,12;05/12/2024 14:53;Centro;;
31,6;92496,59;817,42;46;0;05/12/2024 14:53;Centro;;
31,6;92498,51;817,25;46;0;05/12/2024 14:53;Centro;;
31,59;92498,94;817,21;46;0,05;05/12/2024 14:52;Centro;;
31,6;92497,09;817,37;46;0,21;05/12/2024 14:52;Centro;;
31,6;92497,42;817,34;46;0;05/12/2024 14:52;Centro;;
31,6;92497,78;817,31;46;0;05/12/2024 14:52;Centro;;
31,59;92498,77;817,22;46;0;05/12/2024 14:52;Centro;;
31,6;92499,33;817,29;46;0;05/12/2024 14:52;Centro;;
31,6;92499,84;817,13;46;0;05/12/2024 14:52;Centro;;
31,6;92499,02;817,2;46;1,21;05/12/2024 14:52;Centro;;
31,61;92500,11;817,1;46;0;05/12/2024 14:52;Centro;;
31,6;92500,17;817,1;46;0;05/12/2024 14:52;Centro;;
31,61;92501,01;817,02;46;0;05/12/2024 14:52;Centro;;
31,6;92497,69;817,32;46;0;05/12/2024 14:52;Centro;;
31,61;92498,09;817,28;46;0;05/12/2024 14:51;Centro;;
31,61;92496,97;817,39;46;0,25;05/12/2024 14:51;Centro;;
31,61;92497,53;817,33;46;0;05/12/2024 14:51;Centro;;
31,61;92499,45;817,16;46;0;05/12/2024 14:51;Centro;;
31,61;92499,95;817,12;46;0;05/12/2024 14:51;Centro;;
31,6;92501,49;816,98;46;NULL;05/12/2024 14:51;Centro;;
31,6;92500,17;817,1;46;0;05/12/2024 14:51;Centro;;
31,61;92499,08;817,2;46;0,35;05/12/2024 14:51;Centro;;
31,6;92501,49;816,98;46;0;05/12/2024 14:51;Centro;;
31,6;92501,05;817,02;46;0,02;05/12/2024 14:51;Centro;;
31,6;92501,98;816,94;46;0;05/12/2024 14:51;Centro;;
31,6;92501,09;817,02;46;0;05/12/2024 14:51;Centro;;
31,6;92502,42;816,9;46;0,11;05/12/2024 14:50;Centro;;
31,6;92498,91;817,21;46;0,22;05/12/2024 14:50;Centro;;
31,6;92500,82;816,97;46;0;05/12/2024 14:50;Centro;;
31,6;92499,33;817,17;46;0;05/12/2024 14:50;Centro;;
31,59;92498,44;817,25;46;0;05/12/2024 14:50;Centro;;
31,6;92500,98;817,03;46;0;05/12/2024 14:50;Centro;;
