Date,Country,City,Specie,count,min,max,median,variance
2024-10-24,BR,São José dos Campos,temperature,96,21.0,30.0,22.0,94.87
2024-02-09,BR,São José dos Campos,temperature,96,20.0,32.0,24.0,149.58
2024-04-07,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-04-30,BR,São José dos Campos,temperature,78,0.0,32.0,22.0,1575.18
2024-06-15,BR,São José dos Campos,temperature,81,12.0,28.0,22.0,288.1
2024-09-16,BR,São José dos Campos,temperature,62,17.0,22.0,19.0,20.96
2024-10-19,BR,São José dos Campos,temperature,79,17.0,22.0,19.0,22.1
2024-04-19,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-04-26,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-05-08,BR,São José dos Campos,temperature,96,0.0,31.0,0.0,1065.92
2024-06-20,BR,São José dos Campos,temperature,96,10.0,27.0,17.0,311.56
2024-07-15,BR,São José dos Campos,temperature,92,12.0,21.0,15.0,86.29
2024-10-12,BR,São José dos Campos,temperature,91,20.0,31.0,22.0,121.79
2024-02-05,BR,São José dos Campos,temperature,96,17.0,31.0,23.0,243.93
2024-02-07,BR,São José dos Campos,temperature,96,18.0,31.0,22.0,151.14
2024-02-25,BR,São José dos Campos,temperature,85,21.0,30.0,24.0,83.5
2024-03-29,BR,São José dos Campos,temperature,65,21.0,27.0,22.0,43.95
2024-08-02,BR,São José dos Campos,temperature,96,13.0,26.0,17.0,191.98
2024-11-01,BR,São José dos Campos,temperature,96,17.0,31.0,20.0,194.67
2024-09-20,BR,São José dos Campos,temperature,72,16.0,34.0,20.0,452.16
2024-10-22,BR,São José dos Campos,temperature,88,20.0,32.0,25.0,157.76
2024-01-23,BR,São José dos Campos,temperature,96,17.0,20.0,18.0,9.82
2024-05-02,BR,São José dos Campos,temperature,81,0.0,0.0,0.0,0.0
2024-05-10,BR,São José dos Campos,temperature,96,0.0,29.0,18.0,1441.64
2024-05-19,BR,São José dos Campos,temperature,90,20.0,28.0,22.0,66.4
2024-06-01,BR,São José dos Campos,temperature,96,12.0,24.0,16.0,139.62
2024-08-16,BR,São José dos Campos,temperature,96,12.0,31.0,20.0,432.63
2024-11-17,BR,São José dos Campos,temperature,67,18.0,29.0,21.0,136.78
2024-05-05,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-06-19,BR,São José dos Campos,temperature,96,10.0,27.2,21.0,258.2
2024-07-26,BR,São José dos Campos,temperature,96,10.0,27.0,17.0,312.83
2024-09-25,BR,São José dos Campos,temperature,96,19.0,36.0,23.0,399.09
2024-11-07,BR,São José dos Campos,temperature,96,21.0,24.0,22.0,9.1
2024-01-06,BR,São José dos Campos,temperature,96,19.0,29.0,21.0,86.46
2024-03-24,BR,São José dos Campos,temperature,60,18.0,21.0,20.0,13.15
2024-03-30,BR,São José dos Campos,temperature,59,0.0,29.0,21.0,1155.33
2024-06-02,BR,São José dos Campos,temperature,94,10.0,26.0,16.0,239.07
2024-09-14,BR,São José dos Campos,temperature,40,18.0,31.0,24.0,138.97
2024-02-10,BR,São José dos Campos,temperature,96,20.0,32.0,24.0,157.26
2024-05-31,BR,São José dos Campos,temperature,96,9.0,21.0,15.0,127.77
2024-07-06,BR,São José dos Campos,temperature,96,13.0,22.0,16.0,74.88
2024-08-18,BR,São José dos Campos,temperature,96,12.0,31.0,19.0,460.59
2024-10-10,BR,São José dos Campos,temperature,72,18.0,27.0,20.0,88.17
2024-11-05,BR,São José dos Campos,temperature,96,20.0,27.0,23.0,56.18
2024-01-26,BR,São José dos Campos,temperature,96,17.0,23.0,19.0,42.09
2024-07-13,BR,São José dos Campos,temperature,92,13.0,20.0,16.0,35.94
2024-07-24,BR,São José dos Campos,temperature,96,9.0,26.0,15.0,339.93
2024-07-29,BR,São José dos Campos,temperature,96,13.0,27.0,17.0,174.88
2024-08-03,BR,São José dos Campos,temperature,96,13.0,28.0,18.0,243.93
2024-08-09,BR,São José dos Campos,temperature,96,16.0,21.0,19.0,26.52
2024-01-19,BR,São José dos Campos,temperature,96,20.0,32.0,24.0,145.1
2024-03-14,BR,São José dos Campos,temperature,92,21.0,33.0,25.0,187.36
2024-04-28,BR,São José dos Campos,temperature,96,0.0,32.0,19.0,1765.81
2024-08-11,BR,São José dos Campos,temperature,96,6.0,19.0,9.0,153.05
2024-11-28,BR,São José dos Campos,temperature,69,20.0,35.0,24.0,287.49
2024-01-08,BR,São José dos Campos,temperature,96,21.0,32.0,23.0,107.68
2024-03-09,BR,São José dos Campos,temperature,96,21.0,31.0,25.0,103.56
2024-11-23,BR,São José dos Campos,temperature,96,17.0,26.0,19.0,76.7
2024-01-05,BR,São José dos Campos,temperature,96,19.0,29.0,22.0,114.1
2024-03-03,BR,São José dos Campos,temperature,96,19.0,31.0,22.0,155.42
2024-03-10,BR,São José dos Campos,temperature,96,22.0,26.0,23.0,10.67
2024-07-22,BR,São José dos Campos,temperature,96,10.0,26.0,15.0,336.0
2024-10-26,BR,São José dos Campos,temperature,96,19.0,31.0,22.0,132.71
2024-11-15,BR,São José dos Campos,temperature,64,17.0,27.0,22.0,84.29
2024-01-21,BR,São José dos Campos,temperature,96,20.0,29.0,22.0,68.84
2024-02-28,BR,São José dos Campos,temperature,96,22.0,33.0,24.0,106.0
2024-06-09,BR,São José dos Campos,temperature,64,13.0,27.0,21.0,235.83
2024-08-01,BR,São José dos Campos,temperature,96,14.0,25.0,16.0,137.95
2024-10-28,BR,São José dos Campos,temperature,96,16.0,22.0,20.0,36.77
2024-02-29,BR,São José dos Campos,temperature,96,22.0,32.0,23.0,111.72
2024-03-05,BR,São José dos Campos,temperature,96,21.0,33.0,23.0,151.84
2024-04-03,BR,São José dos Campos,temperature,72,0.0,28.0,0.0,896.87
2024-04-22,BR,São José dos Campos,temperature,96,0.0,30.0,15.0,1441.02
2024-08-12,BR,São José dos Campos,temperature,96,7.0,20.0,12.0,195.77
2024-10-20,BR,São José dos Campos,temperature,70,15.0,22.0,19.0,30.19
2024-01-28,BR,São José dos Campos,temperature,96,17.5,25.0,20.0,38.83
2024-02-15,BR,São José dos Campos,temperature,72,20.0,26.0,21.0,39.08
2024-08-08,BR,São José dos Campos,temperature,96,14.0,30.0,22.0,323.35
2024-09-26,BR,São José dos Campos,temperature,96,19.0,36.0,24.0,370.46
2024-10-09,BR,São José dos Campos,temperature,72,15.0,25.0,19.0,85.72
2024-01-07,BR,São José dos Campos,temperature,96,20.0,34.0,23.0,181.04
2024-05-12,BR,São José dos Campos,temperature,94,0.0,32.0,19.0,1422.17
2024-05-18,BR,São José dos Campos,temperature,91,16.0,31.0,21.0,283.02
2024-08-06,BR,São José dos Campos,temperature,96,14.0,30.0,21.0,303.36
2024-10-04,BR,São José dos Campos,temperature,96,15.0,20.0,16.5,19.6
2024-06-18,BR,São José dos Campos,temperature,96,10.0,27.0,19.0,285.21
2024-09-13,BR,São José dos Campos,temperature,13,24.0,34.0,31.0,150.9
2024-09-22,BR,São José dos Campos,temperature,72,18.0,33.0,23.0,275.03
2024-01-11,BR,São José dos Campos,temperature,96,20.0,31.0,25.0,135.42
2024-02-22,BR,São José dos Campos,temperature,72,20.0,30.5,23.3,130.03
2024-03-17,BR,São José dos Campos,temperature,68,22.0,35.0,30.0,211.71
2024-05-04,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
