date, pm25, pm10, o3, no2, so2, co
2024/12/2, 46, 19, 27, 16, , 3
2024/12/3, 40, 10, 15, 14, , 2
2024/12/4, 27, 12, 15, 10, , 1
2024/12/5, 31, 18, 28, 15, , 2
2024/12/6, 44, , , , , 
2024/11/2, 50, 20, 27, 15, , 3
2024/11/3, 55, 19, 20, 9, , 2
2024/11/4, 52, 11, 11, 15, , 3
2024/11/5, 37, 19, 20, 16, , 3
2024/11/6, 46, 14, 33, 12, , 2
2024/11/7, 23, 12, 16, 13, , 2
2024/11/8, 20, 8, 13, 12, , 2
2024/11/9, 25, 11, 19, 7, , 1
2024/11/10, 31, 13, 28, 5, , 1
2024/11/11, 33, 17, 37, 17, , 2
2024/11/12, 41, 30, 28, 22, , 4
2024/11/13, 72, 12, 16, 12, , 1
2024/11/14, 29, 16, 13, 13, , 2
2024/11/15, 46, 18, 31, 9, , 1
2024/11/16, 46, 23, 29, 12, , 2
2024/11/17, 44, 17, 36, 6, , 1
2024/11/18, 37, 20, 36, 16, , 2
2024/11/19, 43, 27, 38, 18, , 3
2024/11/20, 58, 25, 15, 11, , 2
2024/11/21, 61, , , , , 
2024/11/24, 14, 9, 21, 4, , 1
2024/11/25, 28, 21, 37, 15, , 2
2024/11/26, 45, 31, 36, 25, , 4
2024/11/27, 60, 42, 43, 28, , 4
2024/11/28, 66, 40, 37, 28, , 4
2024/11/29, 78, 18, 26, 18, , 3
2024/11/30, 47, 19, 29, 13, , 3
2024/12/1, 47, 17, 38, 4, , 1
2024/10/2, 101, 59, 50, 28, , 5
2024/10/3, 122, 17, 25, 11, , 2
2024/10/4, 46, 10, 18, 11, , 1
2024/10/5, 28, 14, 24, 8, , 1
2024/10/6, 39, 22, 48, 7, , 2
2024/10/7, 53, 21, 33, 11, , 1
2024/10/8, 53, 32, 35, 18, , 3
2024/10/9, 71, 32, 23, 21, , 3
2024/10/10, 83, 30, 23, , , 4
2024/10/11, 72, 25, 29, 18, , 5
2024/10/12, 64, 19, 26, 10, , 4
2024/10/13, 42, , , , , 
2024/10/16, 66, 40, 49, , , 4
2024/10/17, 85, 28, 67, 15, , 2
2024/10/18, 65, 27, 38, 14, , 2
2024/10/19, 63, 14, 19, 9, , 1
2024/10/20, 46, , , , , 
2024/10/29, 43, 19, 21, 13, , 2
2024/10/30, 56, 22, 30, 10, , 1
2024/10/31, 46, 18, 28, 10, , 1
2024/11/1, 37, 20, 33, 13, , 2
2024/7/2, 50, 33, 11, 23, , 4
2024/7/3, 69, 41, 2, 23, , 7
2024/7/4, 84, 54, 12, 37, , 8
2024/7/5, 116, 54, 23, 36, , 9
2024/7/6, 113, 20, 21, 9, , 2
2024/7/7, 48, 27, 27, 11, , 2
2024/7/8, 65, 11, 13, 14, , 1
2024/7/9, 37, 9, 4, 16, , 3
2024/7/10, 31, 20, 10, 21, , 5
2024/7/11, 57, 43, 6, 28, , 8
2024/7/12, 90, 12, 11, 12, , 2
2024/7/13, 32, 16, 12, 11, , 2
2024/7/14, 39, 20, 23, 10, , 2
2024/7/15, 55, 22, 15, 17, , 3
2024/7/16, 55, 27, 16, 16, , 3
2024/7/17, 68, 33, 21, 31, , 5
2024/7/18, 73, 50, 11, 28, , 12
2024/7/19, 111, 38, 54, 27, , 5
2024/7/20, 88, 42, 23, 26, , 6
2024/7/21, 102, 33, 36, 14, , 3
2024/7/22, 84, 43, 30, 28, , 7
2024/7/23, 100, 46, 3, 34, , 5
2024/7/24, 93, 44, , , , 5
2024/7/25, 95, 55, 29, 36, , 8
2024/7/26, 116, 61, 34, 46, , 10
2024/7/27, 130, 56, 34, 33, , 7
2024/7/28, 115, 49, 30, 25, , 7
2024/7/29, 102, 43, 31, 23, , 8
2024/7/30, 94, 8, 15, 3, , 2
2024/7/31, 31, 19, 18, 8, , 2
2024/8/1, 53, 30, 13, 10, , 1
2024/8/2, 73, 33, 24, 26, , 4
2024/8/3, 60, 29, 27, 22, , 4
2024/8/4, 63, 25, 22, 17, , 3
2024/8/5, 63, 30, 24, 23, , 4
2024/8/6, 72, 43, 30, 29, , 6
2024/8/7, 92, 47, 25, 27, , 5
2024/8/8, 85, 47, 31, 29, , 6
2024/8/9, 84, 29, 13, 23, , 4
2024/8/10, 71, 10, 16, 10, , 2
2024/8/11, 34, 18, 28, 17, , 3
2024/8/12, 56, 17, 23, 19, , 2
2024/8/13, 44, 24, 19, 16, , 1
2024/8/14, 56, 36, 22, 26, , 4
2024/8/15, 73, 62, 32, 35, , 14
2024/8/16, 120, 75, 4, 53, , 19
2024/8/17, 139, 78, 62, 48, , 20
2024/8/18, 146, 62, 53, 34, , 12
2024/8/19, 139, 68, 44, 48, , 11
2024/8/20, 147, 85, 4, 53, , 18
2024/8/21, 171, , , , , 
2024/9/19, 54, 17, 9, 16, , 
2024/9/20, 38, , , , , 
2024/9/22, 55, 31, 56, 11, , 4
2024/9/23, 78, 49, 65, 28, , 8
2024/9/24, 104, 51, 60, 35, , 7
2024/9/25, 112, 51, 80, 28, , 6
2024/9/26, 107, 61, 57, 45, , 9
2024/9/27, 127, 29, 30, 18, , 4
2024/9/28, 69, 18, 31, 6, , 1
2024/9/29, 38, 21, 45, 7, , 2
2024/9/30, 54, 37, 55, 20, , 4
2024/10/1, 83, 51, 47, 34, , 7
2024/4/2, 68, 31, 40, 26, , 3
2024/4/3, 64, 35, 61, 20, , 3
2024/4/4, 81, 32, 70, 18, , 3
2024/4/5, 71, 31, 68, 16, , 2
2024/4/6, 77, 22, 32, 7, , 1
2024/4/7, 49, 16, 32, 6, , 1
2024/4/8, 36, 28, 22, 19, , 2
2024/4/9, 52, 26, 36, 20, , 3
2024/4/10, 70, 31, 42, 23, , 4
2024/4/11, 74, 29, 36, 15, , 2
2024/4/12, 69, 18, 29, 10, , 1
2024/4/13, 43, 20, 45, 9, , 1
2024/4/14, 45, 19, 29, 9, , 1
2024/4/15, 55, 20, 24, 14, , 2
2024/4/16, 49, 27, 32, 17, , 2
2024/4/17, 62, 24, 30, 17, , 2
2024/4/18, 49, 19, 18, 9, , 1
2024/4/19, 30, 15, 29, 12, , 1
2024/4/20, 37, 19, 35, 9, , 1
2024/4/21, 48, 23, 41, 12, , 4
2024/4/22, 64, 32, 39, 21, , 3
2024/4/23, 81, 39, 46, 33, , 5
2024/4/24, 72, 45, 40, 30, , 6
2024/4/25, 105, 25, 28, 11, , 1
2024/4/26, 61, 28, 33, 15, , 2
2024/4/27, 65, 32, 40, 17, , 3
2024/4/28, 67, 31, 41, 12, , 4
2024/4/29, 81, 29, 32, 9, , 2
2024/4/30, 62, 40, 7, 27, , 6
2024/5/1, 103, 48, 29, 26, , 8
2024/5/2, 108, 47, 16, 30, , 8
2024/5/3, 95, 44, 29, 32, , 4
2024/5/4, 80, 36, 29, 25, , 5
2024/5/5, 78, 36, 31, 17, , 4
2024/5/6, 94, 37, 29, 26, , 4
2024/5/7, 81, 33, 29, 24, , 4
2024/5/8, 76, 38, 27, 28, , 3
2024/5/9, 63, 36, 25, 19, , 3
2024/5/10, 66, 29, 26, 14, , 3
2024/5/11, 55, 46, 32, 22, , 6
2024/5/12, 88, 38, 32, 32, , 5
2024/5/13, 81, 42, 33, 21, , 3
2024/5/14, 68, 11, 9, 9, , 1
2024/5/15, 24, 10, 10, 14, , 1
2024/5/16, 27, 35, 21, 29, , 4
2024/5/17, 69, 40, 30, 27, , 5
2024/5/18, 75, 42, 33, 34, , 6
2024/5/19, 83, 20, 12, 4, , 1
2024/5/20, 47, 23, 14, 16, , 2
2024/5/21, 46, 28, 12, 18, , 4
2024/5/22, 65, 37, 18, 24, , 4
2024/5/23, 73, 45, 25, 40, , 6
2024/5/24, 84, 30, 10, , , 3
2024/5/25, 58, 13, 12, 8, , 1
2024/5/26, 29, 8, 9, 8, , 1
2024/5/27, 25, 12, 3, 16, , 3
2024/5/28, 37, 18, 6, 12, , 2
2024/5/29, 36, 14, 10, 12, , 2
2024/5/30, 28, 12, 19, 7, , 1
2024/5/31, 26, 16, 12, 13, , 1
2024/6/1, 39, 19, 11, 9, , 1
2024/6/2, 48, 29, 21, 13, , 7
2024/6/3, 73, 33, 11, 21, , 6
2024/6/4, 71, 10, 13, 8, , 1
2024/6/5, 24, 21, 17, 6, , 4
2024/6/6, 46, 42, 12, 30, , 6
2024/6/7, 88, 46, 12, 27, , 9
2024/6/8, 105, 53, 30, 22, , 10
2024/6/9, 108, 35, , 22, , 6
2024/6/10, 83, 33, 22, 24, , 9
2024/6/11, 69, 50, 31, 33, , 8
2024/6/12, 103, 45, 21, 33, , 6
2024/6/13, 99, 44, 25, 33, , 6
2024/6/14, 80, 33, 17, 27, , 4
2024/6/15, 63, 43, 20, 26, , 8
2024/6/16, 90, 43, 24, 20, , 9
2024/6/17, 100, 32, 2, 30, , 5
2024/6/18, 60, 37, 19, 22, , 6
2024/6/19, 69, 45, 22, 29, , 8
2024/6/20, 88, 50, 28, 37, , 7
2024/6/21, 109, 48, 22, 35, , 6
2024/6/22, 99, 46, 20, 28, , 9
2024/6/23, 100, 44, 27, 19, , 7
2024/6/24, 99, 42, 24, 23, , 5
2024/6/25, 81, 12, 11, 11, , 1
2024/6/26, 27, 36, 27, 22, , 3
2024/6/27, 51, 33, 11, 22, , 4
2024/6/28, 74, 51, 17, 30, , 8
2024/6/29, 101, 37, 18, 23, , 5
2024/6/30, 86, 14, 14, 7, , 1
2024/7/1, 37, 21, 9, 16, , 3
2024/1/2, 49, 19, 48, 4, , 1
2024/1/3, 39, 14, 34, 6, , 1
2024/1/4, 34, 6, 18, 3, , 1
2024/1/5, 15, 12, 32, 8, , 1
2024/1/6, 34, 11, 37, , , 1
2024/1/7, 30, 16, 46, , , 1
2024/1/8, 39, 22, 37, 10, , 2
2024/1/9, 44, 22, 50, 19, , 3
2024/1/10, 42, 18, 41, 14, , 2
2024/1/11, 54, 15, 30, 16, , 2
2024/1/12, 29, 14, 25, 14, , 2
2024/1/13, 29, 9, 11, 7, , 1
2024/1/14, 22, 19, 37, 8, , 1
2024/1/15, 45, 22, 42, 5, , 3
2024/1/16, 43, 15, 36, 8, , 1
2024/1/17, 31, 18, 38, 10, , 1
2024/1/18, 38, 23, 38, , , 2
2024/1/19, 47, 16, 27, 19, , 2
2024/1/20, 38, 13, 34, 10, , 1
2024/1/21, 36, 10, 20, 8, , 1
2024/1/22, 19, 10, 27, 5, , 1
2024/1/23, 19, 8, 18, 8, , 1
2024/1/24, 23, , 21, 11, , 3
2024/1/27, 19, 10, 36, 7, , 1
2024/1/28, 21, 14, 32, 10, , 1
2024/1/29, 41, 16, 33, 17, , 2
2024/1/31, 66, 31, 33, 29, , 3
2024/2/1, 66, 20, 49, 21, , 3
2024/2/2, 62, 18, 24, 19, , 2
2024/2/4, 56, 15, 30, 14, , 3
2024/2/5, 46, 17, 64, 19, , 3
2024/2/6, 50, 24, 55, 19, , 2
2024/2/7, 63, 24, 55, 17, , 2
2024/2/8, 60, 25, 71, 15, , 2
2024/2/9, 63, 22, 49, 13, , 2
2024/2/10, 59, 19, 44, 8, , 1
2024/2/11, 49, 18, 40, 8, , 1
2024/2/12, 52, 16, 39, 8, , 1
2024/2/13, 35, 17, 37, 8, , 1
2024/2/14, 39, 9, 13, 11, , 1
2024/2/15, 31, 8, 14, 5, , 1
2024/2/16, 19, 18, 35, , , 1
2024/2/17, 47, 19, 50, 8, , 1
2024/2/18, 56, 11, 44, 6, , 1
2024/2/19, 33, 20, 32, , , 1
2024/2/20, 51, 14, 19, 12, , 1
2024/2/21, 38, 15, 28, 13, , 1
2024/2/22, 44, 18, 37, 13, , 1
2024/2/23, 52, 21, 39, 17, , 2
2024/2/24, 43, 19, 23, 18, , 4
2024/2/25, 40, 26, 46, 9, , 3
2024/2/26, 65, 15, 26, 7, , 1
2024/2/27, 26, 17, 37, 13, , 2
2024/2/28, 40, 27, 35, 19, , 3
2024/2/29, 58, 18, 33, 14, , 1
2024/3/1, 46, 17, 25, 13, , 2
2024/3/2, 33, 15, 34, 7, , 1
2024/3/3, 31, 16, 49, 7, , 1
2024/3/4, 43, 25, 46, 16, , 2
2024/3/5, 65, 19, 34, 14, , 2
2024/3/6, 48, 16, 28, 15, , 2
2024/3/7, 28, 16, 27, 10, , 1
2024/3/8, 26, 15, 27, 13, , 2
2024/3/9, 36, 16, 35, 12, , 2
2024/3/10, 42, 14, 25, 6, , 1
2024/3/11, 32, 16, 35, 8, , 1
2024/3/12, 29, 21, 36, 12, , 1
2024/3/13, 52, 29, 50, 15, , 2
2024/3/14, 67, 32, 55, 21, , 3
2024/3/15, 69, 34, 47, 24, , 3
2024/3/16, 72, 34, 47, 22, , 4
2024/3/17, 74, 29, 42, 13, , 3
2024/3/18, 55, 23, 45, 16, , 2
2024/3/19, 55, 25, 39, 23, , 3
2024/3/20, 58, 31, 47, 21, , 4
2024/3/21, 73, 19, 39, 18, , 2
2024/3/22, 43, 11, 21, 9, , 1
2024/3/23, 25, 12, 18, 7, , 1
2024/3/24, 21, 14, 20, 7, , 1
2024/3/25, 34, 18, 35, 11, , 1
2024/3/26, 40, 18, 31, 12, , 1
2024/3/27, 42, 16, 14, 12, , 1
2024/3/28, 39, 14, 11, 16, , 2
2024/3/29, 41, 15, 26, 11, , 1
2024/3/30, 35, 10, 28, 7, , 1
2024/3/31, 29, 16, 55, 11, , 1
2024/4/1, 56, 24, 36, 19, , 3
