Date,Country,City,Specie,count,min,max,median,variance
2024-06-08,BR,São Paulo,temperature,624,12.0,29.3,19.9,186.5
2024-07-12,BR,São Paulo,temperature,576,12.9,23.7,16.0,61.41
2024-02-07,BR,São Paulo,temperature,624,18.0,34.7,23.5,165.48
2024-02-22,BR,São Paulo,temperature,624,20.0,33.1,23.0,149.11
2024-03-15,BR,São Paulo,temperature,624,22.0,35.7,28.8,141.82
2024-04-08,BR,São Paulo,temperature,624,19.0,28.6,21.1,73.2
2024-06-22,BR,São Paulo,temperature,576,11.0,29.2,19.6,229.31
2024-07-01,BR,São Paulo,temperature,576,11.6,18.3,13.9,32.42
2024-08-04,BR,São Paulo,temperature,576,15.0,30.7,22.5,152.28
2024-02-29,BR,São Paulo,temperature,624,22.0,34.1,24.4,115.55
2024-03-21,BR,São Paulo,temperature,624,22.0,34.7,26.3,135.55
2024-04-06,BR,São Paulo,temperature,624,18.0,28.0,21.9,57.83
2024-06-27,BR,São Paulo,temperature,576,16.0,26.3,19.0,66.96
2024-03-24,BR,São Paulo,temperature,624,16.3,24.2,19.3,48.86
2024-03-27,BR,São Paulo,temperature,624,18.0,22.0,19.6,9.08
2024-04-29,BR,São Paulo,temperature,624,20.5,33.2,25.7,138.67
2024-08-03,BR,São Paulo,temperature,576,13.0,30.6,20.7,197.9
2024-09-18,BR,São Paulo,temperature,380,14.4,21.7,16.3,37.1
2024-09-26,BR,São Paulo,temperature,528,19.0,37.9,28.0,233.23
2024-10-13,BR,São Paulo,temperature,264,15.0,26.0,17.0,61.46
2024-01-25,BR,São Paulo,temperature,648,15.7,22.1,18.3,27.63
2024-02-16,BR,São Paulo,temperature,600,18.0,27.7,20.5,68.57
2024-05-13,BR,São Paulo,temperature,624,18.0,32.4,24.0,142.49
2024-01-09,BR,São Paulo,temperature,648,20.0,35.9,23.9,208.6
2024-05-23,BR,São Paulo,temperature,624,16.0,30.4,22.9,139.85
2024-09-23,BR,São Paulo,temperature,540,16.0,35.1,24.4,242.15
2024-04-21,BR,São Paulo,temperature,564,15.0,30.7,21.1,203.41
2024-05-29,BR,São Paulo,temperature,590,10.0,22.5,13.6,108.88
2024-03-30,BR,São Paulo,temperature,624,19.0,30.6,21.2,104.06
2024-03-31,BR,São Paulo,temperature,598,15.5,32.6,22.7,200.36
2024-04-09,BR,São Paulo,temperature,624,19.0,29.7,22.0,87.09
2024-03-28,BR,São Paulo,temperature,624,17.7,22.0,20.0,10.61
2024-06-26,BR,São Paulo,temperature,531,15.0,30.0,22.3,190.78
2024-08-15,BR,São Paulo,temperature,576,9.0,30.7,18.5,408.0
2024-09-30,BR,São Paulo,temperature,528,17.6,34.0,22.9,223.49
2024-10-24,BR,São Paulo,temperature,428,20.0,30.5,22.5,113.82
2024-01-15,BR,São Paulo,temperature,625,22.0,32.4,27.0,96.76
2024-01-22,BR,São Paulo,temperature,648,18.7,26.8,20.5,58.49
2024-01-23,BR,São Paulo,temperature,648,16.6,20.2,18.6,10.45
2024-10-08,BR,São Paulo,temperature,575,16.0,34.6,19.0,281.62
2024-11-05,BR,São Paulo,temperature,528,19.4,30.0,22.0,89.13
2024-11-06,BR,São Paulo,temperature,527,20.5,29.5,21.6,71.04
2024-01-29,BR,São Paulo,temperature,648,17.0,31.5,23.9,197.28
2024-03-16,BR,São Paulo,temperature,624,22.0,36.4,29.0,123.54
2024-03-23,BR,São Paulo,temperature,624,16.6,19.3,17.8,4.5
2024-05-19,BR,São Paulo,temperature,624,18.3,27.6,20.9,53.43
2024-09-13,BR,São Paulo,temperature,69,19.0,34.5,27.2,192.47
2024-10-06,BR,São Paulo,temperature,528,14.8,29.8,17.5,181.1
2024-06-04,BR,São Paulo,temperature,624,15.0,20.2,16.8,13.9
2024-06-06,BR,São Paulo,temperature,624,12.0,27.7,18.3,163.93
2024-08-09,BR,São Paulo,temperature,576,12.2,22.5,18.1,51.46
2024-01-03,BR,São Paulo,temperature,648,20.0,33.0,22.0,121.36
2024-01-26,BR,São Paulo,temperature,648,15.7,25.6,18.6,54.96
2024-05-24,BR,São Paulo,temperature,615,15.0,27.6,19.1,91.17
2024-06-25,BR,São Paulo,temperature,531,16.0,20.6,18.6,12.01
2024-06-16,BR,São Paulo,temperature,600,13.0,30.3,21.7,202.14
2024-07-27,BR,São Paulo,temperature,576,11.0,27.8,19.1,158.26
2024-04-15,BR,São Paulo,temperature,624,21.0,30.5,22.3,70.24
2024-05-02,BR,São Paulo,temperature,624,17.0,33.7,26.0,162.25
2024-05-21,BR,São Paulo,temperature,624,16.0,26.3,18.7,71.52
2024-06-24,BR,São Paulo,temperature,576,14.0,30.4,20.6,196.05
2024-10-10,BR,São Paulo,temperature,553,17.0,27.9,19.0,89.22
2024-11-14,BR,São Paulo,temperature,552,15.0,21.6,17.0,32.2
2024-02-08,BR,São Paulo,temperature,618,18.0,34.7,24.5,159.9
2024-03-26,BR,São Paulo,temperature,624,17.0,27.5,20.0,65.59
2024-05-30,BR,São Paulo,temperature,618,8.0,21.2,13.4,74.32
2024-07-29,BR,São Paulo,temperature,576,13.0,26.1,18.0,76.54
2024-10-07,BR,São Paulo,temperature,544,15.0,29.3,18.0,167.43
2024-10-20,BR,São Paulo,temperature,336,14.4,19.0,17.0,14.94
